989634	989683	+	-39:+11
991263	991331	-	-39:+30
997120	997177	+	-39:+19
1002307	1002371	+	-47:+18
1004814	1004877	+	-46:+18
1008592	1008651	+	-50:+10
1013291	1013344	-	-42:+12
1015585	1015627	+	-39:+4
1018471	1018540	-	-53:+17
1018886	1018945	+	-50:+10
1018951	1018994	+	-35:+9
1020983	1021047	-	-46:+19
1020985	1021049	+	-47:+18
1022165	1022206	+	-38:+4
1030083	1030126	-	-40:+4
1030159	1030205	-	-43:+4
1050344	1050390	-	-40:+7
1056632	1056679	+	-39:+9
1057609	1057654	+	-40:+6
1075228	1075288	-	-42:+19
1083734	1083798	+	-49:+16
1100888	1100969	+	-38:+44
1102953	1103010	-	-39:+19
1105609	1105685	-	-59:+18
1115584	1115648	-	-38:+27
1117024	1117092	+	-49:+20
1129644	1129703	-	-50:+10
1136154	1136208	-	-37:+18
1136244	1136311	+	-48:+20
1157142	1157186	+	-40:+5
1172506	1172550	-	-38:+7
1172580	1172632	+	-40:+13
1172580	1172632	+	-40:+13
1177251	1177313	-	-40:+23
1194958	1195018	+	-44:+17
1208114	1208167	+	-40:+14
1226822	1226865	+	-40:+4
1226822	1226865	+	-40:+4
1226864	1226911	+	-42:+6
1227524	1227583	+	-50:+10
1227570	1227628	+	-49:+10
1228967	1229031	+	-48:+17
1248609	1248657	+	-39:+10
1250540	1250587	-	-44:+4
1251191	1251238	-	-43:+5
1252036	1252083	-	-42:+6
1252104	1252154	+	-45:+6
1252756	1252812	+	-45:+12
1253038	1253091	+	-43:+11
1253314	1253369	+	-45:+11
1258242	1258288	+	-40:+7
1280894	1280949	-	-46:+10
1300358	1300405	+	-39:+9
1303322	1303370	+	-46:+3
1314385	1314427	+	-39:+4
1315788	1315856	+	-50:+19
1352961	1353020	+	-50:+10
1359339	1359389	-	-44:+7
1360319	1360383	+	-46:+19
1381943	1381998	+	-51:+5
1383164	1383212	-	-41:+8
1387019	1387075	-	-47:+10
1398114	1398157	+	-39:+5
1411729	1411782	+	-47:+7
1414026	1414072	-	-39:+8
1421278	1421336	+	-48:+11
1424702	1424770	-	-49:+20
1425560	1425629	+	-47:+23
1425562	1425631	-	-55:+15
1426807	1426882	+	-50:+26
1426823	1426886	+	-53:+11
1430587	1430651	+	-49:+16
1435275	1435321	-	-42:+5
1437804	1437846	-	-38:+5
1437923	1437966	-	-39:+5
1438012	1438054	+	-34:+9
1449186	1449232	+	-39:+8
1450580	1450621	+	-33:+9
1451226	1451269	+	-38:+6
1456807	1456858	+	-45:+7
1459303	1459348	+	-37:+9
1461397	1461440	+	-40:+4
1461705	1461749	+	-41:+4
1463571	1463622	+	-43:+9
1469927	1469979	+	-42:+11
1473532	1473580	+	-41:+8
1477010	1477070	-	-38:+23
1477998	1478060	+	-36:+27
1485969	1486022	+	-44:+10
1486953	1487001	+	-44:+5
1495383	1495430	-	-42:+6
1503518	1503560	+	-39:+4
1517766	1517807	+	-36:+6
1517766	1517807	+	-40:+2
1518262	1518325	+	-46:+18
1528191	1528266	+	-64:+12
1530383	1530460	+	-70:+8
1541817	1541871	+	-45:+10
1544046	1544096	+	-41:+10
1558977	1559029	-	-47:+6
1558988	1559035	-	-39:+9
1565716	1565762	+	-39:+8
1567583	1567633	+	-38:+13
1571893	1571940	-	-39:+9
1584149	1584192	+	-37:+7
1590077	1590125	+	-40:+9
1590218	1590260	+	-37:+6
1593567	1593631	+	-50:+15
1596140	1596205	+	-48:+18
1596294	1596343	+	-42:+8
1596400	1596464	+	-47:+18
1603685	1603752	+	-49:+19
1605560	1605612	+	-40:+13
1605560	1605618	+	-40:+19
1618114	1618157	+	-40:+4
1630064	1630118	+	-39:+16
1655319	1655362	+	-40:+4
1661892	1661954	+	-45:+18
1669382	1669436	+	-50:+5
1671746	1671807	+	-45:+17
1687120	1687168	+	-43:+6
1691011	1691062	+	-41:+11
1691170	1691216	+	-44:+3
1716433	1716483	+	-44:+7
1731553	1731616	+	-46:+18
1744274	1744324	+	-40:+11
1745895	1745953	+	-41:+18
1752152	1752195	+	-41:+3
1764569	1764633	+	-45:+20
1774933	1774975	+	-40:+3
1774999	1775046	+	-43:+5
1862727	1862775	-	-37:+12
1868523	1868577	+	-46:+9
1873587	1873633	-	-41:+6
1874033	1874075	+	-40:+3
1874144	1874190	+	-42:+5
1877886	1877951	+	-49:+17
1886984	1887041	+	-47:+11
1891760	1891821	+	-44:+18
1905216	1905262	-	-41:+6
1907313	1907358	+	-38:+8
1915081	1915132	+	-43:+9
1916595	1916639	+	-41:+4
1923086	1923134	+	-44:+5
1923955	1924001	+	-42:+5
1924405	1924451	+	-42:+5
1926049	1926108	-	-50:+10
1926457	1926505	-	-41:+8
1926564	1926629	+	-48:+18
1930210	1930251	+	-39:+3
1930210	1930262	+	-40:+13
1940523	1940589	+	-49:+18
1957373	1957421	-	-38:+11
1959593	1959635	-	-38:+5
2014671	2014735	-	-47:+18
2014693	2014755	+	-46:+17
2028777	2028824	+	-38:+10
2038795	2038846	-	-37:+15
2042837	2042896	-	-40:+20
2047675	2047717	-	-39:+4
2055328	2055387	-	-49:+11
2062988	2063029	+	-38:+4
2071111	2071153	-	-39:+4
2084153	2084204	+	-43:+9
2089325	2089372	+	-43:+5
2093798	2093846	-	-44:+5
2096106	2096154	-	-43:+6
2111707	2111770	-	-48:+16
2130016	2130075	-	-50:+10
2133401	2133457	+	-36:+21
2148494	2148541	-	-43:+5
2148603	2148650	+	-43:+5
2156160	2156205	+	-39:+7
2308396	2308444	-	-41:+8
2308444	2308497	+	-38:+16
2310807	2310854	+	-39:+9
2320206	2320250	-	-40:+5
2325678	2325725	-	-43:+5
2333038	2333085	-	-43:+5
2337521	2337569	+	-37:+12
2337521	2337569	+	-37:+12
2339615	2339661	+	-41:+6
2362353	2362399	-	-39:+8
2365155	2365199	-	-39:+6
2377612	2377666	-	-47:+8
2385836	2385892	-	-50:+7
2385985	2386042	-	-40:+18
2386024	2386076	-	-42:+11
2387735	2387778	-	-40:+4
2387822	2387863	-	-38:+4
2400098	2400144	-	-41:+6
2417923	2417970	-	-43:+5
2421371	2421425	-	-51:+4
2424552	2424594	-	-36:+7
2431629	2431680	-	-43:+9
2433609	2433657	-	-40:+9
2435806	2435869	-	-47:+17
2443311	2443368	-	-37:+21
2445021	2445069	-	-44:+5
2446286	2446325	-	-37:+3
2446286	2446325	-	-37:+3
2448449	2448495	-	-41:+6
2448467	2448525	-	-42:+17
2450309	2450356	-	-39:+9
2451078	2451119	-	-36:+6
2456857	2456920	-	-45:+19
2493595	2493638	+	-40:+4
2494587	2494631	+	-41:+4
2504685	2504726	-	-34:+8
2514089	2514131	-	-39:+4
2518868	2518914	-	-43:+4
2519010	2519067	-	-43:+15
2519019	2519072	-	-42:+12
2520436	2520477	-	-39:+3
2520436	2520477	-	-39:+3
2534009	2534062	-	-40:+14
2537640	2537697	-	-55:+3
2540883	2540942	+	-50:+10
2552271	2552330	+	-53:+7
2552352	2552397	+	-41:+5
2552589	2552648	+	-49:+11
2555304	2555349	-	-42:+4
2555466	2555521	+	-36:+20
2560080	2560145	-	-49:+17
2564427	2564482	-	-47:+9
2581652	2581701	-	-43:+7
2588636	2588685	+	-38:+12
2594225	2594269	-	-40:+5
2602931	2602973	+	-38:+5
2603346	2603394	-	-42:+7
2603836	2603886	-	-46:+5
2604022	2604068	-	-42:+5
2604050	2604095	-	-42:+4
2604059	2604107	-	-41:+8
2611373	2611426	-	-48:+6
2611373	2611426	-	-48:+6
2616955	2617006	-	-40:+12
2629665	2629731	-	-49:+18
2632774	2632843	-	-58:+12
2634461	2634504	-	-40:+4
2635633	2635674	-	-39:+3
2635633	2635674	-	-39:+3
2642015	2642083	-	-50:+19
2647330	2647376	+	-42:+5
2649656	2649709	-	-40:+14
2652915	2652962	+	-39:+9
2652915	2652962	+	-39:+9
2654979	2655028	-	-44:+6
2657658	2657717	-	-50:+10
2660205	2660265	+	-51:+10
2660209	2660268	+	-50:+10
2660258	2660299	+	-38:+4
2678145	2678205	+	-50:+11
2715511	2715561	-	-38:+13
2716863	2716907	+	-41:+4
2725741	2725799	+	-50:+9
2752741	2752804	+	-39:+25
2762858	2762897	-	-35:+5
2778501	2778545	-	-39:+6
2778501	2778545	-	-39:+6
2788537	2788605	-	-59:+10
2791438	2791492	-	-39:+16
2806181	2806234	-	-39:+15
2812207	2812265	-	-49:+10
2822803	2822846	-	-40:+4
2837442	2837488	-	-42:+5
2837442	2837488	-	-42:+5
2838793	2838852	-	-50:+10
2845891	2845936	-	-42:+4
2849482	2849544	-	-47:+16
2849485	2849549	+	-47:+18
2854595	2854661	-	-50:+17
2857651	2857702	-	-46:+6
2865185	2865253	-	-53:+16
2869611	2869661	-	-43:+8
2872786	2872829	-	-39:+5
2882800	2882863	-	-47:+17
2882872	2882932	-	-44:+17
2884669	2884717	-	-41:+8
2886119	2886168	-	-46:+4
2897436	2897499	-	-45:+19
2897725	2897770	+	-37:+9
2903120	2903166	-	-39:+8
2905008	2905055	-	-42:+6
2908810	2908871	-	-44:+18
2911061	2911125	-	-48:+17
2913349	2913405	-	-37:+20
2913580	2913621	-	-40:+2
2915239	2915285	-	-38:+9
2918562	2918628	-	-43:+24
2930786	2930828	-	-38:+5
2931599	2931645	+	-43:+4
2931620	2931666	+	-43:+4
2948963	2949012	-	-40:+10
2950133	2950187	-	-48:+7
2951419	2951461	+	-39:+4
2953549	2953587	-	-37:+2
2961475	2961536	-	-42:+20
2962447	2962493	-	-39:+8
2966927	2966972	-	-40:+6
2968091	2968148	-	-48:+10
2978538	2978583	-	-38:+8
2978554	2978603	-	-43:+7
2978566	2978610	-	-39:+6
2978588	2978631	-	-40:+4
2978694	2978743	-	-46:+4
2981052	2981114	-	-45:+18
2982446	2982511	-	-48:+18
2983093	2983139	+	-33:+14
2994702	2994748	+	-35:+12
3008806	3008879	+	-54:+20
3008806	3008879	+	-51:+23
3008822	3008896	-	-54:+21
3016385	3016434	-	-44:+6
3019456	3019512	-	-38:+19
3021072	3021112	-	-38:+3
3025660	3025710	-	-39:+12
3031469	3031543	-	-55:+20
3031494	3031571	-	-58:+20
3035501	3035564	+	-47:+17
3038151	3038211	-	-43:+18
3039944	3040013	-	-52:+18
3040002	3040068	+	-49:+18
3048037	3048082	-	-41:+5
3048086	3048135	-	-45:+5
3078589	3078632	-	-37:+7
3112105	3112166	-	-52:+10
3119478	3119524	-	-41:+6
3129432	3129505	+	-59:+15
3132286	3132329	+	-36:+8
3135487	3135531	-	-40:+5
3135534	3135585	-	-45:+7
3136692	3136735	-	-41:+3
3148790	3148855	-	-50:+16
3149688	3149751	-	-47:+17
3153795	3153857	-	-45:+18
3153940	3154009	+	-38:+32
3161928	3161972	-	-42:+3
3171655	3171697	-	-39:+4
3178799	3178861	-	-43:+20
3178892	3178956	-	-48:+17
3182582	3182624	-	-39:+4
3212535	3212593	+	-35:+24
3224794	3224866	+	-38:+35
3230002	3230045	+	-37:+7
3233844	3233908	+	-47:+18
3244703	3244754	+	-40:+12
3253456	3253517	-	-43:+19
3256950	3257018	-	-51:+18
3257288	3257355	-	-48:+20
3257629	3257678	+	-37:+13
3259283	3259348	-	-49:+17
3278250	3278317	+	-50:+18
3292405	3292444	-	-39:+1
3299238	3299291	-	-39:+15
3323235	3323283	-	-38:+11
3328650	3328693	-	-39:+5
3330435	3330480	+	-40:+6
3341052	3341098	-	-40:+7
3343692	3343738	-	-41:+6
3354003	3354045	+	-40:+3
3372410	3372502	-	-38:+55
3383477	3383540	+	-60:+4
3385562	3385633	+	-63:+9
3385660	3385716	+	-46:+11
3390439	3390486	-	-43:+5
3390692	3390742	-	-44:+7
3390706	3390762	-	-50:+7
3390714	3390754	+	-39:+2
3390714	3390754	+	-39:+2
3397756	3397815	-	-50:+10
3398947	3399006	-	-50:+10
3421632	3421674	-	-40:+3
3434196	3434240	-	-40:+5
3446075	3446150	-	-38:+38
3446149	3446208	-	-50:+10
3463307	3463361	-	-42:+13
3467377	3467421	-	-37:+8
3481628	3481685	-	-49:+9
3483857	3483912	-	-42:+14
3485565	3485608	-	-39:+5
3485603	3485648	+	-40:+6
3529906	3529955	-	-44:+6
3535484	3535526	-	-40:+3
3535769	3535823	+	-44:+11
3539098	3539142	+	-39:+6
3542689	3542761	-	-39:+34
3546087	3546150	+	-45:+19
3546151	3546220	+	-50:+20
3608825	3608867	-	-38:+5
3615371	3615414	-	-40:+4
3615427	3615469	-	-40:+3
3623827	3623879	-	-39:+14
3630898	3630950	-	-42:+11
3631596	3631639	-	-39:+5
3631602	3631650	-	-42:+7
3634775	3634819	-	-41:+4
3635988	3636033	-	-40:+6
3641089	3641133	-	-40:+5
3643557	3643621	-	-46:+19
3645307	3645356	-	-45:+5
3645392	3645442	-	-44:+7
3646643	3646709	-	-52:+15
3658932	3658981	-	-44:+6
3663103	3663151	-	-42:+7
3663124	3663169	-	-39:+7
3663161	3663202	+	-36:+6
3663218	3663261	+	-39:+5
3665509	3665555	+	-40:+7
3665544	3665586	+	-40:+3
3672468	3672552	-	-59:+26
3681086	3681131	-	-40:+6
3681253	3681299	+	-42:+5
3687498	3687547	-	-41:+9
3688683	3688742	-	-50:+10
3688733	3688786	+	-43:+11
3693951	3694003	-	-49:+4
3701330	3701396	+	-49:+18
3711378	3711440	-	-46:+17
3715918	3715964	-	-43:+4
3717149	3717193	+	-42:+3
3717181	3717240	-	-44:+16
3718738	3718780	+	-39:+4
3744267	3744308	+	-37:+5
3744278	3744324	+	-41:+6
3748858	3748900	-	-38:+5
3753809	3753857	-	-43:+6
3756698	3756762	+	-47:+18
3758484	3758527	+	-38:+6
3758484	3758527	+	-38:+6
3759619	3759671	-	-44:+9
3759619	3759671	-	-44:+9
3759673	3759712	-	-34:+6
3760541	3760607	-	-40:+27
3764918	3764962	-	-41:+4
3769375	3769422	-	-44:+4
3769940	3769985	-	-38:+8
3774568	3774621	-	-48:+6
3777781	3777823	-	-39:+4
3777836	3777906	+	-58:+13
3790476	3790521	-	-41:+5
3795382	3795422	-	-39:+2
3802235	3802294	-	-49:+11
3809958	3810009	-	-43:+9
3809979	3810042	-	-44:+20
3812472	3812524	-	-45:+8
3813138	3813201	-	-52:+12
3816557	3816599	-	-37:+6
3818832	3818883	+	-44:+8
3829964	3830030	-	-52:+15
3830636	3830694	-	-52:+7
3832239	3832304	-	-48:+18
3833538	3833597	-	-52:+8
3835968	3836017	+	-45:+5
3847007	3847047	+	-36:+5
3849689	3849753	-	-53:+12
3849749	3849794	+	-42:+4
3849749	3849794	+	-42:+4
3865251	3865293	-	-39:+4
3880546	3880585	-	-35:+5
3882094	3882135	-	-34:+8
3893155	3893198	-	-39:+5
3893279	3893331	+	-46:+7
3905167	3905217	-	-38:+13
3905265	3905314	+	-41:+9
3912241	3912286	-	-41:+5
3912242	3912286	-	-41:+4
3928032	3928076	-	-39:+6
3928032	3928076	-	-39:+6
3933142	3933190	-	-40:+9
3939798	3939848	+	-43:+8
3941899	3941966	+	-48:+20
3945444	3945482	-	-37:+2
3950621	3950662	-	-39:+3
3952033	3952082	+	-38:+12
3961916	3961961	-	-40:+6
3964002	3964043	-	-38:+4
3964926	3964979	+	-47:+7
3964935	3964976	+	-39:+3
3970878	3970918	-	-39:+2
3979382	3979429	-	-39:+9
3982908	3982950	+	-39:+4
3990987	3991035	-	-41:+8
3997154	3997196	+	-40:+3
4004204	4004245	-	-36:+6
4010232	4010275	-	-40:+4
4013730	4013782	-	-48:+5
4030580	4030623	-	-40:+4
4035814	4035863	-	-47:+3
4041405	4041467	+	-46:+17
4052293	4052362	-	-58:+12
4062215	4062281	-	-58:+9
4065531	4065579	+	-37:+12
4066138	4066212	+	-39:+36
4084567	4084613	-	-39:+8
4084731	4084774	+	-39:+5
4091342	4091387	-	-41:+5
4112012	4112070	-	-48:+11
4113254	4113304	-	-43:+8
4113336	4113398	+	-47:+16
4117012	4117079	+	-42:+26
4118845	4118891	+	-41:+6
4127663	4127722	-	-50:+10
4127978	4128028	+	-46:+5
4140181	4140219	+	-34:+5
4141080	4141121	+	-38:+4
4145549	4145588	-	-35:+5
4145668	4145716	+	-45:+4
4156752	4156815	-	-46:+18
4167039	4167083	+	-43:+2
4177708	4177753	-	-37:+9
4189159	4189221	-	-45:+18
4204471	4204515	-	-39:+6
4204797	4204840	+	-35:+9
4214647	4214698	-	-44:+8
4215404	4215475	-	-49:+23
4215486	4215536	-	-41:+10
